year,n6,name,n5,n2,n,n3,n4
2020/1/3,IN,India,SEARO,0,0,0,0
2020/1/3,US,United States of America,AMRO,0,0,0,0
2020/1/3,BR,Brazil,AMRO,0,0,0,0
2020/1/3,RU,Russian Federation,EURO,0,0,0,0
2020/1/3,FR,France,EURO,0,0,0,0
2020/1/3,TR,Turkey,EURO,0,0,0,0
2020/1/3,GB,The United Kingdom,EURO,0,0,0,0
2020/1/3,AR,Argentina,AMRO,0,0,0,0
2020/1/3,CO,Colombia,AMRO,0,0,0,0
2020/1/3,IT,Italy,EURO,0,0,0,0
2020/1/4,IN,India,SEARO,0,0,0,0
2020/1/4,US,United States of America,AMRO,0,0,0,0
2020/1/4,BR,Brazil,AMRO,0,0,0,0
2020/1/4,RU,Russian Federation,EURO,0,0,0,0
2020/1/4,FR,France,EURO,0,0,0,0
2020/1/4,TR,Turkey,EURO,0,0,0,0
2020/1/4,GB,The United Kingdom,EURO,0,0,0,0
2020/1/4,AR,Argentina,AMRO,0,0,0,0
2020/1/4,CO,Colombia,AMRO,0,0,0,0
2020/1/4,IT,Italy,EURO,0,0,0,0
2020/1/5,IN,India,SEARO,0,0,0,0
2020/1/5,US,United States of America,AMRO,0,0,0,0
2020/1/5,BR,Brazil,AMRO,0,0,0,0
2020/1/5,RU,Russian Federation,EURO,0,0,0,0
2020/1/5,FR,France,EURO,0,0,0,0
2020/1/5,TR,Turkey,EURO,0,0,0,0
2020/1/5,GB,The United Kingdom,EURO,0,0,0,0
2020/1/5,AR,Argentina,AMRO,0,0,0,0
2020/1/5,CO,Colombia,AMRO,0,0,0,0
2020/1/5,IT,Italy,EURO,0,0,0,0
2020/1/6,IN,India,SEARO,0,0,0,0
2020/1/6,US,United States of America,AMRO,0,0,0,0
2020/1/6,BR,Brazil,AMRO,0,0,0,0
2020/1/6,RU,Russian Federation,EURO,0,0,0,0
2020/1/6,FR,France,EURO,0,0,0,0
2020/1/6,TR,Turkey,EURO,0,0,0,0
2020/1/6,GB,The United Kingdom,EURO,0,0,0,0
2020/1/6,AR,Argentina,AMRO,0,0,0,0
2020/1/6,CO,Colombia,AMRO,0,0,0,0
2020/1/6,IT,Italy,EURO,0,0,0,0
2020/1/7,IN,India,SEARO,0,0,0,0
2020/1/7,US,United States of America,AMRO,0,0,0,0
2020/1/7,BR,Brazil,AMRO,0,0,0,0
2020/1/7,RU,Russian Federation,EURO,0,0,0,0
2020/1/7,FR,France,EURO,0,0,0,0
2020/1/7,TR,Turkey,EURO,0,0,0,0
2020/1/7,GB,The United Kingdom,EURO,0,0,0,0
2020/1/7,AR,Argentina,AMRO,0,0,0,0
2020/1/7,CO,Colombia,AMRO,0,0,0,0
2020/1/7,IT,Italy,EURO,0,0,0,0
2020/1/8,IN,India,SEARO,0,0,0,0
2020/1/8,US,United States of America,AMRO,0,0,0,0
2020/1/8,BR,Brazil,AMRO,0,0,0,0
2020/1/8,RU,Russian Federation,EURO,0,0,0,0
2020/1/8,FR,France,EURO,0,0,0,0
2020/1/8,TR,Turkey,EURO,0,0,0,0
2020/1/8,GB,The United Kingdom,EURO,0,0,0,0
2020/1/8,AR,Argentina,AMRO,0,0,0,0
2020/1/8,CO,Colombia,AMRO,0,0,0,0
2020/1/8,IT,Italy,EURO,0,0,0,0
2020/1/9,IN,India,SEARO,0,0,0,0
2020/1/9,US,United States of America,AMRO,0,0,0,0
2020/1/9,BR,Brazil,AMRO,0,0,0,0
2020/1/9,RU,Russian Federation,EURO,0,0,0,0
2020/1/9,FR,France,EURO,0,0,0,0
2020/1/9,TR,Turkey,EURO,0,0,0,0
2020/1/9,GB,The United Kingdom,EURO,0,0,0,0
2020/1/9,AR,Argentina,AMRO,0,0,0,0
2020/1/9,CO,Colombia,AMRO,0,0,0,0
2020/1/9,IT,Italy,EURO,0,0,0,0
2020/1/10,IN,India,SEARO,0,0,0,0
2020/1/10,US,United States of America,AMRO,0,0,0,0
2020/1/10,BR,Brazil,AMRO,0,0,0,0
2020/1/10,RU,Russian Federation,EURO,0,0,0,0
2020/1/10,FR,France,EURO,0,0,0,0
2020/1/10,TR,Turkey,EURO,0,0,0,0
2020/1/10,GB,The United Kingdom,EURO,0,0,0,0
2020/1/10,AR,Argentina,AMRO,0,0,0,0
2020/1/10,CO,Colombia,AMRO,0,0,0,0
2020/1/10,IT,Italy,EURO,0,0,0,0
2020/1/11,IN,India,SEARO,0,0,0,0
2020/1/11,US,United States of America,AMRO,0,0,0,0
2020/1/11,BR,Brazil,AMRO,0,0,0,0
2020/1/11,RU,Russian Federation,EURO,0,0,0,0
2020/1/11,FR,France,EURO,0,0,0,0
2020/1/11,TR,Turkey,EURO,0,0,0,0
2020/1/11,GB,The United Kingdom,EURO,0,0,0,0
2020/1/11,AR,Argentina,AMRO,0,0,0,0
2020/1/11,CO,Colombia,AMRO,0,0,0,0
2020/1/11,IT,Italy,EURO,0,0,0,0
2020/1/12,IN,India,SEARO,0,0,0,0
2020/1/12,US,United States of America,AMRO,0,0,0,0
2020/1/12,BR,Brazil,AMRO,0,0,0,0
2020/1/12,RU,Russian Federation,EURO,0,0,0,0
2020/1/12,FR,France,EURO,0,0,0,0
2020/1/12,TR,Turkey,EURO,0,0,0,0
2020/1/12,GB,The United Kingdom,EURO,0,0,0,0
2020/1/12,AR,Argentina,AMRO,0,0,0,0
2020/1/12,CO,Colombia,AMRO,0,0,0,0
2020/1/12,IT,Italy,EURO,0,0,0,0
2020/1/13,IN,India,SEARO,0,0,0,0
2020/1/13,US,United States of America,AMRO,0,0,0,0
2020/1/13,BR,Brazil,AMRO,0,0,0,0
2020/1/13,RU,Russian Federation,EURO,0,0,0,0
2020/1/13,FR,France,EURO,0,0,0,0
2020/1/13,TR,Turkey,EURO,0,0,0,0
2020/1/13,GB,The United Kingdom,EURO,0,0,0,0
2020/1/13,AR,Argentina,AMRO,0,0,0,0
2020/1/13,CO,Colombia,AMRO,0,0,0,0
2020/1/13,IT,Italy,EURO,0,0,0,0
2020/1/14,IN,India,SEARO,0,0,0,0
2020/1/14,US,United States of America,AMRO,0,0,0,0
2020/1/14,BR,Brazil,AMRO,0,0,0,0
2020/1/14,RU,Russian Federation,EURO,0,0,0,0
2020/1/14,FR,France,EURO,0,0,0,0
2020/1/14,TR,Turkey,EURO,0,0,0,0
2020/1/14,GB,The United Kingdom,EURO,0,0,0,0
2020/1/14,AR,Argentina,AMRO,0,0,0,0
2020/1/14,CO,Colombia,AMRO,0,0,0,0
2020/1/14,IT,Italy,EURO,0,0,0,0
2020/1/15,IN,India,SEARO,0,0,0,0
2020/1/15,US,United States of America,AMRO,0,0,0,0
2020/1/15,BR,Brazil,AMRO,0,0,0,0
2020/1/15,RU,Russian Federation,EURO,0,0,0,0
2020/1/15,FR,France,EURO,0,0,0,0
2020/1/15,TR,Turkey,EURO,0,0,0,0
2020/1/15,GB,The United Kingdom,EURO,0,0,0,0
2020/1/15,AR,Argentina,AMRO,0,0,0,0
2020/1/15,CO,Colombia,AMRO,0,0,0,0
2020/1/15,IT,Italy,EURO,0,0,0,0
2020/1/16,IN,India,SEARO,0,0,0,0
2020/1/16,US,United States of America,AMRO,0,0,0,0
2020/1/16,BR,Brazil,AMRO,0,0,0,0
2020/1/16,RU,Russian Federation,EURO,0,0,0,0
2020/1/16,FR,France,EURO,0,0,0,0
2020/1/16,TR,Turkey,EURO,0,0,0,0
2020/1/16,GB,The United Kingdom,EURO,0,0,0,0
2020/1/16,AR,Argentina,AMRO,0,0,0,0
2020/1/16,CO,Colombia,AMRO,0,0,0,0
2020/1/16,IT,Italy,EURO,0,0,0,0
2020/1/17,IN,India,SEARO,0,0,0,0
2020/1/17,US,United States of America,AMRO,0,0,0,0
2020/1/17,BR,Brazil,AMRO,0,0,0,0
