Country,Cases,Deaths,Vaccication,Per100,region,Date
United States of America,33518946,601980,334282915,101.1,Americas,2021/7/9
India,30907282,410784,357553612,27.3,Asia,2021/7/6
Brazil,19089940,533488,104414089,49.1,Americas,2021/7/9
Russian Federation,5833175,144492,42830589,32.6,Europe,2021/7/7
France,5700017,110400,57035368,89.3,Europe,2021/7/4
Turkey,5486959,50278,53226310,69,Europe,2021/7/7
The United Kingdom,5155247,128431,79078081,119,Europe,2021/7/6
Argentina,4647948,98781,23722105,52.5,Americas,2021/7/9
Colombia,4511960,112826,20198661,39.7,Americas,2021/7/9
Italy,4272163,127788,54493152,97.7,Europe,2021/7/4
Spain,3971124,81020,45159156,103.8,Europe,2021/7/4
Germany,3737135,91259,75660295,101.1,Europe,2021/7/4
Iran (Islamic Republic of),3394279,86041,6530124,7.8,Asia,2021/7/13
Poland,2880959,75173,31100882,86.9,Europe,2021/7/4
Indonesia,2615529,68219,47845366,19.1,Asia,2021/7/6
Mexico,2590500,234969,49202252,38.2,Americas,2021/7/9
Ukraine,2241698,52640,2925771,8,Europe,2021/7/4
South Africa,2206781,64509,4236718,7.1,Africa,2021/7/13
Peru,2080777,194387,8696298,26.4,Americas,2021/7/9
Netherlands,1736879,17766,17396190,106.6,Europe,2021/7/4
Czechia,1669745,30333,8270219,83.9,Europe,2021/7/4
Chile,1589623,33980,23452473,122.7,Americas,2021/7/9
Philippines,1478061,26015,12703081,11.6,Asia,2021/7/8
Iraq,1438511,17592,1087866,2.7,Asia,2021/7/5
Canada,1420531,26436,41699050,110.5,Americas,2021/7/9
Belgium,1097029,25205,11598912,109.1,Europe,2021/7/4
Sweden,1092540,14643,8713499,90.2,Europe,2021/7/4
Romania,1081326,34233,9344093,49,Europe,2021/7/4
Bangladesh,1047155,16842,10215638,6.4,Asia,2021/7/6
Pakistan,975092,22597,19648808,9.3,Asia,2021/7/12
Portugal,909756,17164,9457853,102.4,Europe,2021/7/4
Israel,847108,6439,10806061,124.8,Asia,2021/7/4
Malaysia,844870,6260,10413270,32.2,Asia,2021/7/9
Japan,822280,14959,37214200,29.4,Asia,2021/6/24
Hungary,808556,30010,10470683,108.8,Europe,2021/7/4
Jordan,757690,9843,4307709,43.6,Asia,2021/7/11
Serbia,717667,7073,4546379,73.9,Europe,2021/5/30
Switzerland,702614,10314,7711662,93.6,Europe,2021/7/4
Nepal,658778,9412,3232604,12.3,Asia,2021/6/26
United Arab Emirates,651762,1870,16042491,163.7,Asia,2021/7/13
Austria,647379,10513,8244101,97.4,Europe,2021/7/4
Lebanon,547961,7877,1392025,20.4,Asia,2021/7/5
Morocco,543119,9384,19300988,55.1,Africa,2021/7/5
Kazakhstan,520336,8173,5069635,31.6,Asia,2021/6/27
Saudi Arabia,502439,7992,19596394,56.3,Asia,2021/7/11
Tunisia,501923,16494,2202544,18.6,Africa,2021/7/13
Ecuador,468414,21830,4958392,28.1,America,2021/7/9
Bolivia (Plurinational State of),454241,17219,3035042,26,America,2021/7/9
Greece,440872,12802,8941028,88.5,Europe,2021/7/4
Paraguay,437719,13918,1048575,14.7,America,2021/7/9
